SCHL_NR_ID,CNSS_YR,CNSS_SB_ID,SCHOOL_NM,SCHL_DSTRT,ELMNTRY_ST,SCNDRY_SCT,SCHL_YR_PD,DT_PBLCTNR,LATITUDE,LONGITUDE,X,Y
102,2011,5937014,Beairsto Elementary,Vernon,605,0,2016/2017,2017,50.266041,-119.26670,,
103,2011,5937005,Charles Bloom Elementary Secondary,Vernon,61,289,2016/2017,2017,50.250833,-118.96194,,
104,2011,5937023,Cherryville Elementary,Vernon,71,0,2016/2017,2017,50.244292,-118.61515,,
105,2011,5937014,Clarence Fulton Secondary,Vernon,0,646,2016/2017,2017,50.247889,-119.30880,,
106,2011,5937010,Coldstream Elementary,Vernon,407,0,2016/2017,2017,50.223610,-119.23319,,
107,2011,5937014,Continuing Ed SD 22,Vernon,0,26,2016/2017,2017,50.262970,-119.26903,,
108,2011,5937005,Crossroads Alternate School,Vernon,0,10,2016/2017,2017,50.250833,-118.96194,,
109,2011,5937014,Ellison Elementary,Vernon,344,0,2016/2017,2017,50.266667,-119.27166,,
110,2011,5937014,Harwood Elementary,Vernon,417,0,2016/2017,2017,50.276049,-119.25853,,
111,2011,5937021,Hillview Elementary,Vernon,358,0,2016/2017,2017,50.254407,-119.23674,,
112,2011,5937005,J W Inglis Elementary,Vernon,320,0,2016/2017,2017,50.252619,-118.96687,,
113,2011,5937010,Kalamalka Secondary,Vernon,0,511,2016/2017,2017,50.224488,-119.24815,,
114,2011,5937010,Kidston Elementary,Vernon,277,0,2016/2017,2017,50.222504,-119.25816,,
115,2011,5937010,Lavington Elementary,Vernon,136,0,2016/2017,2017,50.231484,-119.10727,,
116,2011,5937014,Mission Hill Elementary,Vernon,308,0,2016/2017,2017,50.254080,-119.28176,,
117,2011,5937014,Okanagan Landing Elementary,Vernon,342,0,2016/2017,2017,50.237487,-119.34406,,
118,2011,5937014,Open Door Alternate School,Vernon,0,39,2016/2017,2017,50.262970,-119.26903,,
119,2011,5937014,Pleasant Valley Christian Academy,Vernon,13,0,2016/2017,2017,50.277564,-119.25448,,
120,2011,5937014,Silver Star Elementary,Vernon,471,0,2016/2017,2017,50.267462,-119.25050,,
121,2011,5937014,St James,Vernon,147,0,2016/2017,2017,50.262184,-119.26654,,
122,2011,5937017,Vernon Christian School,Vernon,200,142,2016/2017,2017,50.309280,-119.24551,,
123,2011,5937014,Vernon Secondary,Vernon,0,1016,2016/2017,2017,50.256934,-119.25110,,
124,2011,5937014,vLearn.ca,Vernon,80,404,2016/2017,2017,50.261688,-119.28573,,
125,2011,5937014,W L Seaton Secondary,Vernon,0,856,2016/2017,2017,50.272477,-119.26745,,
126,2011,5935010,A S Matheson Elementary,Central Okanagan,232,0,2016/2017,2017,49.876061,-119.47862,,
127,2011,5935010,Aberdeen Hall Preparatory School,Central Okanagan,292,0,2016/2017,2017,49.935009,-119.40238,,
128,2011,5935010,Aberdeen Hall Senior,Central Okanagan,36,228,2016/2017,2017,49.935009,-119.40238,,
129,2011,5935010,Adult Education SD#23,Central Okanagan,0,18,2016/2017,2017,49.881247,-119.48743,,
130,2011,5935010,Anne McClymont Elementary,Central Okanagan,542,0,2016/2017,2017,49.820232,-119.49005,,
131,2011,5935010,Bankhead Elementary,Central Okanagan,276,0,2016/2017,2017,49.891889,-119.47211,,
132,2011,5935010,Belgo Elementary School,Central Okanagan,326,0,2016/2017,2017,49.882257,-119.38985,,
133,2011,5935010,Black Mountain Elementary,Central Okanagan,408,0,2016/2017,2017,49.867177,-119.34925,,
134,2011,5935010,Casorso Elementary,Central Okanagan,532,0,2016/2017,2017,49.852912,-119.48057,,
135,2011,5935010,Central School Programs,Central Okanagan,1,260,2016/2017,2017,49.881247,-119.48743,,
136,2011,5935029,Chief Tomat Elementary,Central Okanagan,270,0,2016/2017,2017,49.841811,-119.58868,,
137,2011,5935010,Chute Lake Elementary,Central Okanagan,492,0,2016/2017,2017,49.795854,-119.50960,,
138,2011,5935029,Constable Neil Bruce Middle School,Central Okanagan,226,517,2016/2017,2017,49.857264,-119.59714,,
139,2011,5935016,Davidson Road Elementary,Central Okanagan,482,0,2016/2017,2017,50.051513,-119.43085,,
140,2011,5935010,Dorothea Walker Elementary,Central Okanagan,470,0,2016/2017,2017,49.826619,-119.48436,,
141,2011,5935010,Dr Knox Middle School,Central Okanagan,244,490,2016/2017,2017,49.922081,-119.43501,,
142,2011,5935012,Ellison Elementary,Central Okanagan,183,0,2016/2017,2017,49.938551,-119.35557,,
143,2011,5935016,George Elliot Secondary,Central Okanagan,125,735,2016/2017,2017,50.031271,-119.40207,,
144,2011,5935029,George Pringle Elementary,Central Okanagan,495,0,2016/2017,2017,49.827070,-119.63228,,
145,2011,5935010,Glenmore Elementary,Central Okanagan,649,0,2016/2017,2017,49.897629,-119.45596,,
146,2011,5935029,Glenrosa Elementary,Central Okanagan,239,0,2016/2017,2017,49.839868,-119.65404,,
147,2011,5935029,Glenrosa Middle School,Central Okanagan,173,314,2016/2017,2017,49.833092,-119.65856,,
148,2011,5935029,Helen Gorman Elementary,Central Okanagan,237,0,2016/2017,2017,49.845874,-119.67214,,
149,2011,5935010,Heritage Christian Online School (DL),Central Okanagan,1725,2494,2016/2017,2017,49.890622,-119.40459,,
150,2011,5935010,Heritage Christian School,Central Okanagan,193,161,2016/2017,2017,49.890622,-119.40459,,
151,2011,5935029,Hudson Road Elementary,Central Okanagan,306,0,2016/2017,2017,49.862480,-119.56444,,
152,2011,5935010,Immaculata Regional High School,Central Okanagan,0,255,2016/2017,2017,49.859243,-119.46561,,
153,2011,5935010,Kelowna Christian School,Central Okanagan,403,256,2016/2017,2017,49.863489,-119.45732,,
154,2011,5935010,Kelowna Secondary,Central Okanagan,0,1813,2016/2017,2017,49.864218,-119.47884,,
155,2011,5935010,Kelowna Waldorf School,Central Okanagan,128,0,2016/2017,2017,49.817053,-119.49916,,
156,2011,5935010,KLEOS Open Learning (DL),Central Okanagan,85,98,2016/2017,2017,49.885123,-119.49804,,
157,2011,5935010,KLO Middle School,Central Okanagan,273,604,2016/2017,2017,49.860069,-119.47597,,
158,2011,5935029,Mar Jok Elementary,Central Okanagan,461,0,2016/2017,2017,49.877006,-119.57178,,
159,2011,5935029,Mount Boucherie Senior Secondary,Central Okanagan,0,1263,2016/2017,2017,49.858998,-119.58271,,
160,2011,5935010,North Glenmore Elementary,Central Okanagan,500,0,2016/2017,2017,49.928553,-119.43595,,
161,2011,5935010,Okanagan Adventist Academy,Central Okanagan,41,30,2016/2017,2017,49.876919,-119.39613,,
162,2011,5935010,Okanagan Mission Secondary,Central Okanagan,208,1157,2016/2017,2017,49.818477,-119.48590,,
163,2011,5935010,Kelowna Montessori School,Central Okanagan,34,0,2016/2017,2017,49.866742,-119.40550,,
164,2011,5935029,Our Lady of Lourdes,Central Okanagan,137,0,2016/2017,2017,49.828149,-119.63287,,
165,2011,5935016,Oyama Traditional School,Central Okanagan,141,0,2016/2017,2017,50.106911,-119.36786,,
166,2011,5935018,Peachland Elementary,Central Okanagan,209,0,2016/2017,2017,49.785711,-119.71825,,
167,2011,5935010,Pearson Road Elementary,Central Okanagan,238,0,2016/2017,2017,49.899747,-119.39962,,
168,2011,5935016,Peter Greer Elementary,Central Okanagan,411,0,2016/2017,2017,50.031602,-119.38876,,
169,2011,5935010,Quigley Elementary,Central Okanagan,258,0,2016/2017,2017,49.880756,-119.40001,,
